x,y,z,vx,vy,vz,theta_z,theta_y,theta_x
1.808469558202311506e-02,1.991806812562542661e-01,0.000000000000000000e+00,-3.136564235446910338e-03,2.847856981598576899e-04,0.000000000000000000e+00,-1.661343483477309091e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.494601871728487921e-02,1.994407594362360425e-01,0.000000000000000000e+00,-3.140659772788212400e-03,2.353599127951765558e-04,0.000000000000000000e+00,-1.645596151880367897e+00,0.000000000000000000e+00,3.141592653589793116e+00
1.180363563854456947e-02,1.996513816273568498e-01,0.000000000000000000e+00,-3.143976510273466425e-03,1.858757644496355154e-04,0.000000000000000000e+00,-1.629848820283426480e+00,0.000000000000000000e+00,3.141592653589793116e+00
8.658325572992191591e-03,1.998124956009310060e-01,0.000000000000000000e+00,-3.146513625440239183e-03,1.363455238721850084e-04,0.000000000000000000e+00,-1.614101488686485064e+00,0.000000000000000000e+00,3.141592653589793116e+00
5.510868473632412300e-03,1.999240614049903053e-01,0.000000000000000000e+00,-3.148270489151640521e-03,8.678147324141946236e-05,0.000000000000000000e+00,-1.598354157089543870e+00,0.000000000000000000e+00,3.141592653589793116e+00
2.362044825876880982e-03,1.999860513741909818e-01,0.000000000000000000e+00,-3.149246665752327475e-03,3.719590311992276437e-05,0.000000000000000000e+00,-1.582606825492602454e+00,0.000000000000000000e+00,3.141592653589793116e+00
-7.873645459950198450e-04,1.999984501366740830e-01,0.000000000000000000e+00,-3.149441913176541114e-03,-1.239889059345873363e-05,0.000000000000000000e+00,-1.566859493895661259e+00,0.000000000000000000e+00,3.141592653589793116e+00
-3.936578672460127118e-03,1.999612546178772543e-01,0.000000000000000000e+00,-3.148856183008126673e-03,-6.199060971267667637e-05,0.000000000000000000e+00,-1.551112162298719843e+00,0.000000000000000000e+00,3.141592653589793116e+00
-7.084816632410752962e-03,1.998744740412970178e-01,0.000000000000000000e+00,-3.147489620492544340e-03,-1.115669568140972406e-04,0.000000000000000000e+00,-1.535364830701778649e+00,0.000000000000000000e+00,3.141592653589793116e+00
-1.023129774680264781e-02,1.997381299262017962e-01,0.000000000000000000e+00,-3.145342564500848166e-03,-1.611156382859398680e-04,0.000000000000000000e+00,-1.519617499104837233e+00,0.000000000000000000e+00,3.141592653589793116e+00
-1.337524177224221934e-02,1.995522560822955704e-01,0.000000000000000000e+00,-3.142415547445658649e-03,-2.106243673767593252e-04,0.000000000000000000e+00,-1.503870167507896038e+00,0.000000000000000000e+00,3.141592653589793116e+00
-1.651586909446645449e-02,1.993168986013339750e-01,0.000000000000000000e+00,-3.138709295149135978e-03,-2.600808672422382450e-04,0.000000000000000000e+00,-1.488122835910954622e+00,0.000000000000000000e+00,3.141592653589793116e+00
-1.965240092166613273e-02,1.990321158456948569e-01,0.000000000000000000e+00,-3.134224726662995959e-03,-3.094728739895117654e-04,0.000000000000000000e+00,-1.472375504314013206e+00,0.000000000000000000e+00,3.141592653589793116e+00
-2.278405947760556507e-02,1.986979784339059085e-01,0.000000000000000000e+00,-3.128962954040611158e-03,-3.587881397182884468e-04,0.000000000000000000e+00,-1.456628172717072012e+00,0.000000000000000000e+00,3.141592653589793116e+00
-2.591006819449048759e-02,1.983145692231331192e-01,0.000000000000000000e+00,-3.122925282061251012e-03,-4.080144355580044317e-04,0.000000000000000000e+00,-1.440880841120130595e+00,0.000000000000000000e+00,3.141592653589793116e+00
-2.902965190553586511e-02,1.978819832886344887e-01,0.000000000000000000e+00,-3.116113207906528147e-03,-4.571395547002527057e-04,0.000000000000000000e+00,-1.425133509523189401e+00,0.000000000000000000e+00,3.141592653589793116e+00
-3.214203703718689770e-02,1.974003279001838584e-01,0.000000000000000000e+00,-3.108528420789142405e-03,-5.061513154257514220e-04,0.000000000000000000e+00,-1.409386177926247985e+00,0.000000000000000000e+00,3.141592653589793116e+00
-3.524645180094431590e-02,1.968697224954708835e-01,0.000000000000000000e+00,-3.100172801533998025e-03,-5.550375641250797441e-04,0.000000000000000000e+00,-1.393638846329306791e+00,0.000000000000000000e+00,3.141592653589793116e+00
-3.834212638474768231e-02,1.962902986504835856e-01,0.000000000000000000e+00,-3.091048422111808500e-03,-6.037861783124545733e-04,0.000000000000000000e+00,-1.377891514732365374e+00,0.000000000000000000e+00,3.141592653589793116e+00
-4.142829314386790862e-02,1.956622000468811740e-01,0.000000000000000000e+00,-3.081157545125305305e-03,-6.523850696317785424e-04,0.000000000000000000e+00,-1.362144183135423958e+00,0.000000000000000000e+00,3.141592653589793116e+00
-4.450418679126286886e-02,1.949855824363647405e-01,0.000000000000000000e+00,-3.070502623248172816e-03,-7.008221868542323157e-04,0.000000000000000000e+00,-1.346396851538482764e+00,0.000000000000000000e+00,3.141592653589793116e+00
-4.756904458734825814e-02,1.942606136020549046e-01,0.000000000000000000e+00,-3.059086298616847752e-03,-7.490855188666597358e-04,0.000000000000000000e+00,-1.330649519941541348e+00,0.000000000000000000e+00,3.141592653589793116e+00
-5.062210652913637365e-02,1.934874733168862604e-01,0.000000000000000000e+00,-3.046911402175343613e-03,-7.971630976499986939e-04,0.000000000000000000e+00,-1.314902188344600154e+00,0.000000000000000000e+00,3.141592653589793116e+00
-5.366261553869693807e-02,1.926663532990283423e-01,0.000000000000000000e+00,-3.033980952973248414e-03,-8.450430012470365113e-04,0.000000000000000000e+00,-1.299154856747658737e+00,0.000000000000000000e+00,3.141592653589793116e+00
-5.668981765089187164e-02,1.917974571643446813e-01,0.000000000000000000e+00,-3.020298157417084395e-03,-8.927133567187313249e-04,0.000000000000000000e+00,-1.283407525150717543e+00,0.000000000000000000e+00,3.141592653589793116e+00
-5.970296220033891044e-02,1.908810003759014995e-01,0.000000000000000000e+00,-3.005866408475201413e-03,-9.401623430883901920e-04,0.000000000000000000e+00,-1.267660193553776127e+00,0.000000000000000000e+00,3.141592653589793116e+00
-6.270130200755624772e-02,1.899172101905386434e-01,0.000000000000000000e+00,-2.990689284836415239e-03,-9.873781942729507183e-04,0.000000000000000000e+00,-1.251912861956834710e+00,0.000000000000000000e+00,3.141592653589793116e+00
-6.568409356424331769e-02,1.889063256025158566e-01,0.000000000000000000e+00,-2.974770550022582880e-03,-1.034349202000658767e-03,0.000000000000000000e+00,-1.236165530359893516e+00,0.000000000000000000e+00,3.141592653589793116e+00
-6.865059721765109924e-02,1.878485972842486862e-01,0.000000000000000000e+00,-2.958114151455354737e-03,-1.081063718714409113e-03,0.000000000000000000e+00,-1.220418198762952100e+00,0.000000000000000000e+00,3.141592653589793116e+00
-7.160007735399595563e-02,1.867442875241484002e-01,0.000000000000000000e+00,-2.940724219477316558e-03,-1.127510160460023060e-03,0.000000000000000000e+00,-1.204670867166010906e+00,0.000000000000000000e+00,3.141592653589793116e+00
-7.453180258087263588e-02,1.855936701615812923e-01,0.000000000000000000e+00,-2.922605066327774431e-03,-1.173677009758768153e-03,0.000000000000000000e+00,-1.188923535569069490e+00,0.000000000000000000e+00,3.141592653589793116e+00
